food_id,food,caloric_value,fat,saturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,calcium,iron,nutrition_density,price,CO2_emissions_kg_per_kg,refined_category
0,margarine with yoghurt,88,9.8,1.9,0.073,0,0.058,0,0,0.018,2.8,0.027,12.971,98,15.5,Oils & Fats
1,sunflower seed butter,99,8.8,0.7,3.7,1.7,2.8,0.9,0,0.065,10.2,0.7,27.5,15,17.5,Dairy Products
2,hazelnut oil,120,13.6,1,0,0,0,0,0,0,0,0,13.6,51,0.43,Oils & Fats
3,menhaden fish oil,1966,218,66.3,0,0,0,0,1135.8,0,0,0,218,47,18,Seafood
4,cod liver fish oil,123,13.6,3.1,0,0,0,0,77.5,0,0,0,17.7,7,9.9,Seafood
5,sardine oil,123,13.6,4.1,0,0,0,0,96.6,0,0,0,13.6,14,16.6,Oils & Fats
6,cupu assu oil,120,13.6,7.2,0,0,0,0,0,0,0,0,13.6,88,9,Oils & Fats
7,lard,115,12.8,5,0,0,0,0,12.2,0,0,0,12.8,76,19.7,Oils & Fats
8,sesame butter,94,8.1,1.1,3.8,0,2.9,0.9,0,0.031,153.6,3.1,172.4,8,9.2,Dairy Products
9,margarine spread,59,6.7,1.2,0.1,0,0.082,0,0.1,0.019,0.6,0.078,7.547,16,18.8,Oils & Fats
10,lard vegetable oil,115,12.8,5.2,0,0,0,0,7.2,0,0,0,12.8,5,0.53,Vegetables
11,shortening,113,12.8,3.2,0,0,0,0,0,0,0,0,12.8,81,11,Processed Foods
12,vegetable oil spread,75,8.4,1.7,0.1,0,0.007,0,0.1,0.081,2.9,0,11.613,58,0.53,Vegetables
13,cottonseed oil,120,13.6,3.5,0,0,0,0,0,0,0,0,13.6,87,14.2,Nuts & Seeds
14,vegetable oil spread fat free,6,0.5,0.015,0.4,0,0.2,0,0.2,0.1,5.7,0.041,7.001,78,0.53,Vegetables
15,soy margarine,88,9.9,3.2,0,0,0,0,0,0.1,0,0,12.642,27,1.7,Oils & Fats
16,margarine with salt,100,11.3,2.1,0.017,0,0.031,0,0,0.1,0.068,0,13.618,42,18.6,Oils & Fats
17,margarine,102,11.5,2.2,0.018,0,0.037,0,0,0.091,0.059,0,13.719,94,11.8,Oils & Fats
18,salmon fish oil,123,13.6,2.7,0,0,0,0,66,0,0,0,13.6,19,16.6,Seafood
19,nutmeg butter oil,1927,218,196.2,0,0,0,0,0,0,0,0,218,80,0.43,Dairy Products
20,almond butter,98,8.9,0.7,3,0.7,3.4,1.6,0,0.037,55.5,0.6,73,58,6.9,Dairy Products
21,sour cream shoprite,60,5,3.5,1,0.014,0,0,0,0,0,0,6,76,13.8,Dairy Products
22,ucuhuba butter oil,120,13.6,11.6,0,0,0,0,0,0,0,0,13.6,91,13.7,Dairy Products
23,chicken fat,115,12.8,3.8,0,0,0,0,10.9,0,0,0,12.8,18,6,Meat & Poultry
24,herring fish oil,123,13.6,2.9,0,0,0,0,104.2,0,0,0,13.6,7,11.8,Seafood
25,bacon grease,39,4.3,1.7,0,0,0,0,4.1,0.009,0,0,4.3,57,9.6,Processed Foods
26,turkey fat,45,5,1.5,0,0,0,0,5.1,0,0,0,5,63,17.7,Meat & Poultry
27,beef tallow,115,12.8,6.4,0,0,0,0,14,0,0,0,12.8,77,60,Meat & Poultry
28,goose fat,45,5,1.4,0,0,0,0,5,0,0,0,5,17,9.6,Oils & Fats
29,duck fat,44,5,1.7,0,0,0,0,5,0,0,0,5,99,7.6,Oils & Fats
30,mutton tallow,45,5,2.4,0,0,0,0,5.1,0,0,0,5,80,25,Meat & Poultry
31,grapeseed oil,120,13.6,1.3,0,0,0,0,0,0,0,0,13.6,78,6.8,Fruits
32,sheanut oil,1927,218,101.6,0,0,0,0,0,0,0,0,218,51,0.43,Oils & Fats
33,almond oil,120,13.6,1.1,0,0,0,0,0,0,0,0,13.6,52,3.6,Nuts & Seeds
34,sunflower oil,120,13.6,1.2,0,0,0,0,0,0,0.1,0,13.617,52,5.3,Nuts & Seeds
35,cashew butter,94,7.9,1.6,4.4,0.8,2.8,0.3,0,0.071,6.9,0.8,23.1,80,5.1,Dairy Products
36,canola oil,124,14,1,0,0,0,0,0,0,0.088,0,14.132,58,17,Oils & Fats
37,babassu oil,1927,218,177,0,0,0,0,0,0,0,0,218,10,19,Oils & Fats
38,teaseed oil,120,13.6,2.9,0,0,0,0,0,0,0,0,13.6,50,5.7,Nuts & Seeds
39,avocado oil,124,14,1.6,0,0,0,0,0,0,0,0,14,74,10.1,Oils & Fats
